Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo Suite,Chrome 135.0.7049.85,,,15-04-2025 11:30:36,15-04-2025 11:33:01,2m - 24.896s,PASSED
,,,,,,,
Test Cases/Tenders-Portal/SCRUM-71 Validate Navigation Links on AusTender Website,Chrome 135.0.7049.85,"Summary: Validate Navigation Links on AusTender Website
Description: ",jira-integration,15-04-2025 11:30:36,15-04-2025 11:30:36,0.240s,PASSED
"runFeatureFile(""Include/features/SCRUM-71 Validate Navigation Links on AusTender Website.feature"")",Chrome 135.0.7049.85,,,15-04-2025 11:30:36,15-04-2025 11:30:36,0.005s,NOT_RUN
,,,,,,,
Test Cases/Tenders-Portal/Navigation Keyword Driven,Chrome 135.0.7049.85,,,15-04-2025 11:30:36,15-04-2025 11:31:27,50.790s,PASSED
"openBrowser("""")",Chrome 135.0.7049.85,,,15-04-2025 11:30:36,15-04-2025 11:30:41,4.347s,PASSED
"navigateToUrl(""https://www.tenders.gov.au/"")",Chrome 135.0.7049.85,,,15-04-2025 11:30:41,15-04-2025 11:30:41,0.669s,PASSED
"verifyElementText(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/h1_Welcome to the Australian Governments pr_7a1f86""), ""Welcome to the Australian Government's procurement information system"")",Chrome 135.0.7049.85,,,15-04-2025 11:30:41,15-04-2025 11:30:42,0.742s,PASSED
"verifyElementText(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/p_AusTender provides centralised publicatio_944297""), ""AusTender provides centralised publication of Australian Government business opportunities, annual procurement plans and contracts awarded. For more information visit AusTender Help and Information Centre."")",Chrome 135.0.7049.85,,,15-04-2025 11:30:42,15-04-2025 11:30:42,0.002s,NOT_RUN
"verifyElementText(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/div_Due to Good Friday and Easter public ho_5090eb""), ""Due to Good Friday and Easter public holiday, the AusTender Helpdesk will be unavailable between Friday 18 April 2025 - Monday 21 April 2025. 
The AusTender Helpdesk will recommence on Tuesday 22 April 2025, 9:00am (AEST)."")",Chrome 135.0.7049.85,,,15-04-2025 11:30:42,15-04-2025 11:30:42,0.263s,PASSED
"verifyElementText(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/h2_Business Opportunities""), ""Business Opportunities"")",Chrome 135.0.7049.85,,,15-04-2025 11:30:42,15-04-2025 11:30:43,0.252s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/a_Find Business Opportunities""), 0)",Chrome 135.0.7049.85,,,15-04-2025 11:30:43,15-04-2025 11:30:43,0.262s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/a_State and Territory Opportunties""), 0)",Chrome 135.0.7049.85,,,15-04-2025 11:30:43,15-04-2025 11:30:43,0.255s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/a_Trading Partner Opportunities""), 0)",Chrome 135.0.7049.85,,,15-04-2025 11:30:43,15-04-2025 11:30:43,0.245s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/span_Panel Buyers""), 0)",Chrome 135.0.7049.85,,,15-04-2025 11:30:43,15-04-2025 11:30:44,0.252s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/span_Reports""), 0)",Chrome 135.0.7049.85,,,15-04-2025 11:30:44,15-04-2025 11:30:44,0.253s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/span_Multi Agency Access""), 0)",Chrome 135.0.7049.85,,,15-04-2025 11:30:44,15-04-2025 11:30:44,0.247s,PASSED
"click(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/a_Approaches to Market""))",Chrome 135.0.7049.85,,,15-04-2025 11:30:44,15-04-2025 11:30:45,0.819s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AusTender/Page_Current ATM List AusTender/input_Keyword_Keyword""), 0)",Chrome 135.0.7049.85,,,15-04-2025 11:30:45,15-04-2025 11:30:45,0.452s,PASSED
"setText(findTestObject(""Object Repository/AusTender/Page_Current ATM List AusTender/input_Keyword_Keyword""), ""education"")",Chrome 135.0.7049.85,,,15-04-2025 11:30:45,15-04-2025 11:30:46,0.766s,PASSED
